id,question_number,passage,question,answer,prompt,question_page_screenshot_paths,answer_page_screenshot_paths
q029,29,"Use the following passage to answer questions 27 through 29.

Wood exhibits its greatest strength in tension parallel to the grain, and it is very uncommon in practice for a specimen to be pulled in two lengthwise. This is due to the difficulty of mak-

5 ing the end fastenings secure enough for the full tensile strength to be brought into play before the fastenings shear off longitudinally. This is not the case with metals, and as a result they are used in almost all places where tensile   
10 strength is particularly needed, even though the remainder of the structure, such as sills, beams, joists, posts, and flooring, may be of wood. Thus in a wooden truss bridge the tension members are steel rods.

15 The tensile strength of wood parallel to the grain depends upon the strength of the fibres and is affected not only by the nature and dimensions of the wood elements but also by their arrangement. It is greatest in straight-

20 grained specimens with thick-walled fibres. Cross grain of any kind materially reduces the tensile strength of wood, since the tensile strength at right angles to the grain is only a small fraction of that parallel to the grain.

Source: Excerpt from The Mechanical Properties of Wood by Samuel J. Record

RATIO OF STRENGTH OF WOOD IN TENSION AND IN COMPRESSION   
(BUL. 10, U.S. DIV. OF FORESTRY, p. 44) 

<table><tr><td rowspan=""3"">Kind of Wood</td><td rowspan=""2"">Ratio: R = Tensile strength</td><td colspan=""2"">A stick 1 square inch in cross section.</td></tr><tr><td colspan=""2"">Weight required to—</td></tr><tr><td>Compressive strength</td><td>Pull apart</td><td>Crush endwise</td></tr><tr><td>Hickory</td><td>3.7</td><td>32,000</td><td>8,500</td></tr><tr><td>Elm</td><td>3.8</td><td>29,000</td><td>7,500</td></tr><tr><td>Larch</td><td>2.3</td><td>19,400</td><td>8,600</td></tr><tr><td>Longleaf Pine</td><td>2.2</td><td>17,300</td><td>7,400</td></tr></table>

NOTE.—Moisture condition not given.","29. Based on information in the passage and the table, which of the following is a factor that may affect the tensile strength of wood that is not indicated in the passage?

a. grain direction   
b. fiber strength   
c. nature of the wood elements   
d. moisture condition   
e. dimensions of the wood elements","29. d. The table indicates that moisture condition is not provided in the table. Since this is an important enough factor to warrant mentioning, it is likely that moisture condition might affect the tensile strength of wood, and this factor is indicated only in the table, not in the passage. Choices a, b, c, and e are all factors indicated in the passage.","Use the following passage to answer questions 27 through 29.

Wood exhibits its greatest strength in tension parallel to the grain, and it is very uncommon in practice for a specimen to be pulled in two lengthwise. This is due to the difficulty of mak-

5 ing the end fastenings secure enough for the full tensile strength to be brought into play before the fastenings shear off longitudinally. This is not the case with metals, and as a result they are used in almost all places where tensile   
10 strength is particularly needed, even though the remainder of the structure, such as sills, beams, joists, posts, and flooring, may be of wood. Thus in a wooden truss bridge the tension members are steel rods.

15 The tensile strength of wood parallel to the grain depends upon the strength of the fibres and is affected not only by the nature and dimensions of the wood elements but also by their arrangement. It is greatest in straight-

20 grained specimens with thick-walled fibres. Cross grain of any kind materially reduces the tensile strength of wood, since the tensile strength at right angles to the grain is only a small fraction of that parallel to the grain.

Source: Excerpt from The Mechanical Properties of Wood by Samuel J. Record

RATIO OF STRENGTH OF WOOD IN TENSION AND IN COMPRESSION   
(BUL. 10, U.S. DIV. OF FORESTRY, p. 44) 

<table><tr><td rowspan=""3"">Kind of Wood</td><td rowspan=""2"">Ratio: R = Tensile strength</td><td colspan=""2"">A stick 1 square inch in cross section.</td></tr><tr><td colspan=""2"">Weight required to—</td></tr><tr><td>Compressive strength</td><td>Pull apart</td><td>Crush endwise</td></tr><tr><td>Hickory</td><td>3.7</td><td>32,000</td><td>8,500</td></tr><tr><td>Elm</td><td>3.8</td><td>29,000</td><td>7,500</td></tr><tr><td>Larch</td><td>2.3</td><td>19,400</td><td>8,600</td></tr><tr><td>Longleaf Pine</td><td>2.2</td><td>17,300</td><td>7,400</td></tr></table>

NOTE.—Moisture condition not given.

29. Based on information in the passage and the table, which of the following is a factor that may affect the tensile strength of wood that is not indicated in the passage?

a. grain direction   
b. fiber strength   
c. nature of the wood elements   
d. moisture condition   
e. dimensions of the wood elements

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q030,30,"Use the following passage to answer question 30.

The humorous story is strictly a work of art—high and delicate art—and only an artist can tell it; but no art is necessary in telling the comic and the witty story; anybody can do it.

5 The art of telling a humorous story—understand, I mean by word of mouth, not print—was created in America, and has remained at home.

Source: Excerpt from ""How to Tell a Story"" by Mark Twain","30. Which statement, if it were true, most significantly weakens the argument in the passage?

a. Native American storytellers had been telling humorous stories for hundreds of years.   
b. The plays of Aristophanes are among the earliest examples of humorous stories in writing.   
c. Mark Twain is widely regarded as one of the wittiest writers in American literature.   
d. The word art is most commonly applied to visual arts such as painting, sculpture, and drawing.   
e. It is important to understand certain rules before attempting to tell a comic story.","30. e. Choice e indicates that there is an art to telling comic stories, which contradicts the author's statement that only an artist can tell a humorous story but anyone can tell a comic or witty story. Choice a supports the author's statement about the humorous oral story originating in America. Since the author makes this statement only about oral storytelling, choice b does not weaken his argument. Choice c would not really undermine the author's argument regarding humorous storytelling; he could be a great teller of both humorous and witty stories. Choice d may be true, but it does not really weaken the author's argument since it does not suggest that visual arts are the only arts.","Use the following passage to answer question 30.

The humorous story is strictly a work of art—high and delicate art—and only an artist can tell it; but no art is necessary in telling the comic and the witty story; anybody can do it.

5 The art of telling a humorous story—understand, I mean by word of mouth, not print—was created in America, and has remained at home.

Source: Excerpt from ""How to Tell a Story"" by Mark Twain

30. Which statement, if it were true, most significantly weakens the argument in the passage?

a. Native American storytellers had been telling humorous stories for hundreds of years.   
b. The plays of Aristophanes are among the earliest examples of humorous stories in writing.   
c. Mark Twain is widely regarded as one of the wittiest writers in American literature.   
d. The word art is most commonly applied to visual arts such as painting, sculpture, and drawing.   
e. It is important to understand certain rules before attempting to tell a comic story.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q031,31,"Use the following passage to answer questions 31 through 33.

Whenever we hear the name of Napoleon mentioned, or see it printed in a book, it is usually in connection with a hard-fought victory on the battlefield. He certainly spent most of his life in the camp, and enjoyed the society of soldiers more than that of courtiers. The thunder of guns, the charge of cavalry, and the flash of bayonets as they glittered in the sun, appealed to him with much the same force as music to more ordinary folk...

We are apt to forget that this mighty conqueror, whom Carlyle calls “our last great man,” had a childhood at all. He was born nearly a century and a half ago, on the 15th August 1769 to be exact, in the little town of Ajaccio, the capital of picturesque Corsica.

Source: Excerpt from The Story of Napoleon by Harold F.B. Wheeler","31. As it is used in the context of the sentence, which word best describes the meaning of force (line 9)?

a. compel   
b. intensity   
c. shove   
d. pry   
e. weight","31. b. The author uses force to modify the action of appealing, so the correct answer choice must be an adjective such as intensity. Choices a, c, and d are all verbs, so they can be eliminated even though they might be used as synonyms of force in a different context. Choice e is not as strong as choice b since weight would be better used to describe something with actual physical dimension.","Use the following passage to answer questions 31 through 33.

Whenever we hear the name of Napoleon mentioned, or see it printed in a book, it is usually in connection with a hard-fought victory on the battlefield. He certainly spent most of his life in the camp, and enjoyed the society of soldiers more than that of courtiers. The thunder of guns, the charge of cavalry, and the flash of bayonets as they glittered in the sun, appealed to him with much the same force as music to more ordinary folk...

We are apt to forget that this mighty conqueror, whom Carlyle calls “our last great man,” had a childhood at all. He was born nearly a century and a half ago, on the 15th August 1769 to be exact, in the little town of Ajaccio, the capital of picturesque Corsica.

Source: Excerpt from The Story of Napoleon by Harold F.B. Wheeler

31. As it is used in the context of the sentence, which word best describes the meaning of force (line 9)?

a. compel   
b. intensity   
c. shove   
d. pry   
e. weight

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q032,32,"Use the following passage to answer questions 31 through 33.

Whenever we hear the name of Napoleon mentioned, or see it printed in a book, it is usually in connection with a hard-fought victory on the battlefield. He certainly spent most of his life in the camp, and enjoyed the society of soldiers more than that of courtiers. The thunder of guns, the charge of cavalry, and the flash of bayonets as they glittered in the sun, appealed to him with much the same force as music to more ordinary folk...

We are apt to forget that this mighty conqueror, whom Carlyle calls “our last great man,” had a childhood at all. He was born nearly a century and a half ago, on the 15th August 1769 to be exact, in the little town of Ajaccio, the capital of picturesque Corsica.

Source: Excerpt from The Story of Napoleon by Harold F.B. Wheeler","32. Which conclusion can be reached from the passage?

a. The childhoods of people with intimidating reputations are often ignored.   
b. Nobody had ever considered Napoleon's childhood before this passage was written.   
c. Nothing is known about Napoleon's childhood at all.   
d. All details about Napoleon's childhood are based on speculation rather than concrete fact.   
e. Great conquerors never have noteworthy childhoods.","32. a. The author suggests that Napoleon's fame for being an intimidating conqueror has caused people to ignore his childhood before he developed that reputation, so choice a is a logical conclusion to reach. The conclusions in choices b and e are too extreme and general, so they are not the likeliest answers. Choice c is clearly untrue since the author does provide some details about Napoleon's childhood. There is no evidence in the passage to support choice d.","Use the following passage to answer questions 31 through 33.

Whenever we hear the name of Napoleon mentioned, or see it printed in a book, it is usually in connection with a hard-fought victory on the battlefield. He certainly spent most of his life in the camp, and enjoyed the society of soldiers more than that of courtiers. The thunder of guns, the charge of cavalry, and the flash of bayonets as they glittered in the sun, appealed to him with much the same force as music to more ordinary folk...

We are apt to forget that this mighty conqueror, whom Carlyle calls “our last great man,” had a childhood at all. He was born nearly a century and a half ago, on the 15th August 1769 to be exact, in the little town of Ajaccio, the capital of picturesque Corsica.

Source: Excerpt from The Story of Napoleon by Harold F.B. Wheeler

32. Which conclusion can be reached from the passage?

a. The childhoods of people with intimidating reputations are often ignored.   
b. Nobody had ever considered Napoleon's childhood before this passage was written.   
c. Nothing is known about Napoleon's childhood at all.   
d. All details about Napoleon's childhood are based on speculation rather than concrete fact.   
e. Great conquerors never have noteworthy childhoods.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q033,33,"Use the following passage to answer questions 31 through 33.

Whenever we hear the name of Napoleon mentioned, or see it printed in a book, it is usually in connection with a hard-fought victory on the battlefield. He certainly spent most of his life in the camp, and enjoyed the society of soldiers more than that of courtiers. The thunder of guns, the charge of cavalry, and the flash of bayonets as they glittered in the sun, appealed to him with much the same force as music to more ordinary folk...

We are apt to forget that this mighty conqueror, whom Carlyle calls “our last great man,” had a childhood at all. He was born nearly a century and a half ago, on the 15th August 1769 to be exact, in the little town of Ajaccio, the capital of picturesque Corsica.

Source: Excerpt from The Story of Napoleon by Harold F.B. Wheeler","33. According to the passage, which of the following did Napoleon most likely prefer?

b. listening to music   
c. plotting a battle   
d. camping on a battlefield   
e. visiting Corsica

a. leading soldiers on the battlefield","33. a. With the examples he supplies, the author shows that Napoleon was happiest when actually engaging in battle, and choice a is the only answer that shows Napoleon in the middle of battle. Choices c and d are related to battle, but neither takes place in the middle of battle. Choice b is directly contradicted in the passage. There is no evidence to support the idea that Napoleon had particularly strong feelings about his hometown, so choice e is not the best answer either.","Use the following passage to answer questions 31 through 33.

Whenever we hear the name of Napoleon mentioned, or see it printed in a book, it is usually in connection with a hard-fought victory on the battlefield. He certainly spent most of his life in the camp, and enjoyed the society of soldiers more than that of courtiers. The thunder of guns, the charge of cavalry, and the flash of bayonets as they glittered in the sun, appealed to him with much the same force as music to more ordinary folk...

We are apt to forget that this mighty conqueror, whom Carlyle calls “our last great man,” had a childhood at all. He was born nearly a century and a half ago, on the 15th August 1769 to be exact, in the little town of Ajaccio, the capital of picturesque Corsica.

Source: Excerpt from The Story of Napoleon by Harold F.B. Wheeler

33. According to the passage, which of the following did Napoleon most likely prefer?

b. listening to music   
c. plotting a battle   
d. camping on a battlefield   
e. visiting Corsica

a. leading soldiers on the battlefield

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q034,34,"Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock","34. The author's use of the word harmonizes in line 11 emphasizes

a. the sweet sound of the kingfisher's song.   
b. the musical sound of flowing water.   
c. the appealing glimmer of sunlight.   
d. how the kingfisher blends with its environment.   
e. how the sounds of a bird and water blend.","34. d. Although the word harmonizes is most often used in relation to music, the author of this passage uses it to explain how a kingfisher blends with its environment visually. So choices a, b, and e, which all take the word more literally as a way of describing sound, can be eliminated. Since the word applies to a kingfisher and its watery environment, not the glimmer of sunlight mentioned further on in the passage, choice c is incorrect.","Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock

34. The author's use of the word harmonizes in line 11 emphasizes

a. the sweet sound of the kingfisher's song.   
b. the musical sound of flowing water.   
c. the appealing glimmer of sunlight.   
d. how the kingfisher blends with its environment.   
e. how the sounds of a bird and water blend.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q035,35,"Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock","35. Which of the following alternate titles would be the most appropriate for this passage?

a. ""Colors of the Desert""   
b. ""Camouflage in the Wild""   
c. ""The Plumage of Birds""   
d. ""Why Kingfishers Are Blue""   
e. ""The Vivid Colors of Animals""","35. b. The art of camouflage uses colors for purposes of protection, and this passage focuses on how the colors of animals help protect them in the wild. A strong title should reflect the main idea of a passage, and this passage is not mainly about the colors of the desert (choice a) or the plumage of birds (choice c). Choice d relates to a single supporting detail in the passage too specifically. Not all coloring described in the passage is vivid, so choice e would not be the best title for this particular passage.","Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock

35. Which of the following alternate titles would be the most appropriate for this passage?

a. ""Colors of the Desert""   
b. ""Camouflage in the Wild""   
c. ""The Plumage of Birds""   
d. ""Why Kingfishers Are Blue""   
e. ""The Vivid Colors of Animals""

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q036,36,"Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock","36. In the first sentence, conspicuous most closely means

a. hidden.   
b. conspiratorial.   
c. obvious.   
d. conscious.   
e. attractive.","36. c. The word conspicuous means obvious. Choice a is an antonym of conspicuous, not a synonym. Choices b and d are spelled similarly to conspicuous but they do not share a meaning with it. Choice e is not a synonym of conspicuous either.","Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock

36. In the first sentence, conspicuous most closely means

a. hidden.   
b. conspiratorial.   
c. obvious.   
d. conscious.   
e. attractive.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q037,37,"Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock","37. The author includes the quotation from Canon Tristram in order to

a. show that authorities agree with the author's opinions.   
b. illustrate an idea that the author could not have explained himself.   
c. support an argument that is not very popular.   
d. prove that birds are unique creatures.   
e. develop upon an idea the author had already introduced.","37. e. The quotation develops upon the author's earlier statement that Desert animals are generally the color of the desert. While it is likely that Canon Tristram is an authority, there is no reason to believe this person speaks for all authorities, so choice a is not the best answer. It also is not likely that the author could not have explained the idea himself if he had to do so, so choice b is not the best answer either. There is no evidence that the author's statement about animal coloring is unpopular, so choice c is not the best answer. The quotation deals more with why certain birds are certain colors than their general uniqueness, so choice d is not the best answer either.","Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock

37. The author includes the quotation from Canon Tristram in order to

a. show that authorities agree with the author's opinions.   
b. illustrate an idea that the author could not have explained himself.   
c. support an argument that is not very popular.   
d. prove that birds are unique creatures.   
e. develop upon an idea the author had already introduced.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q038,38,"Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock","38. Based on the information in the passage, desert animals might not need to be the color of sand if the desert

a. did not have so many trees.   
b. had more colorful sand.   
c. was cooler.   
d. experienced more surface changes.   
e. had fewer animals.","38. d. The author suggests that the undulation of the surface of deserts might offer desert animals more protection, so choice d is the best conclusion. The author also provides information that contradicts choice a. The particular color of the sand in deserts is not the issue, so choice b is not the most logical answer. The temperature of the desert is not a factor in this passage either, so choice c is wrong. The number of animals in the desert does not affect their color, so choice e is wrong, too.","Use the following passage to answer questions 34 through 38.

The color of animals is by no means a matter of chance; it depends on many considerations, but in the majority of cases tends to protect the animal from danger by rendering it less conspicu-  
5 ous. Perhaps it may be said that if coloring is mainly protective, there ought to be but few brightly colored animals. There are, however, not a few cases in which vivid colors are themselves protective. The kingfisher itself, though   
10 so brightly colored, is by no means easy to see. The blue harmonizes with the water, and the bird as it darts along the stream looks almost like a flash of sunlight; besides which, protection is not the only consideration. Let us now   
15 consider the prevalent colors of animals and see how far they support the rule.

Desert animals are generally the color of the desert. Thus, for instance, the lion, the antelope, and the wild ass are all sand-colored.

20 ""Indeed,"" says Canon Tristram, ""in the desert, where neither trees, brushwood, nor even undulation of the surface afford the slightest protection to its foes, a modification of color which shall be assimilated to that of the sur-  
25 rounding country is absolutely necessary. Hence, without exception, the upper plumage of every bird, whether lark, chat, sylvain, or sand grouse, and also the fur of all the smaller mammals and the skin of all the snakes and   
30 lizards, is of one uniform sand color.""

Source: Excerpt from ""The Colors of Animals"" by Sir John Lubbock

38. Based on the information in the passage, desert animals might not need to be the color of sand if the desert

a. did not have so many trees.   
b. had more colorful sand.   
c. was cooler.   
d. experienced more surface changes.   
e. had fewer animals.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
q039,39,"Use the following passage to answer questions 39 and 40.

Although very much yet remains to be learned about this old earth, it is a remarkable fact that man, through the exercise of his highest faculty, has come to know so much concerning it.

5 The following words, by the late Professor Barrell, admirably summarize the significance of geological history. ""The great lesson taught by the study of the outer crust is that the earth mother, like her children, has attained her

10 present form through ceaseless change, which marks the pulse of life and which shall cease only when her internal forces slumber and the cloudy air and surf-bound ocean no more are moving garments. The flowing landscapes of

15 geologic time may be likened to a kinetoscopic panorama. The scenes transform from age to

age, as from act to act; seas and plains and mountains of different types follow and replace each other through time, as the traveler sees them succeed each other in space.""

Source: Excerpt from Geology: The Science of the Earth's Crust by William J. Miller","39. As used in the passage, the word space most nearly means

a. portion of area.   
b. atmosphere beyond Earth.   
c. room.   
d. surface.   
e. depth.","39. a. Each answer choice could be used as a synonym for space, but only portion of area makes sense in this particular context.","Use the following passage to answer questions 39 and 40.

Although very much yet remains to be learned about this old earth, it is a remarkable fact that man, through the exercise of his highest faculty, has come to know so much concerning it.

5 The following words, by the late Professor Barrell, admirably summarize the significance of geological history. ""The great lesson taught by the study of the outer crust is that the earth mother, like her children, has attained her

10 present form through ceaseless change, which marks the pulse of life and which shall cease only when her internal forces slumber and the cloudy air and surf-bound ocean no more are moving garments. The flowing landscapes of

15 geologic time may be likened to a kinetoscopic panorama. The scenes transform from age to

age, as from act to act; seas and plains and mountains of different types follow and replace each other through time, as the traveler sees them succeed each other in space.""

Source: Excerpt from Geology: The Science of the Earth's Crust by William J. Miller

39. As used in the passage, the word space most nearly means

a. portion of area.   
b. atmosphere beyond Earth.   
c. room.   
d. surface.   
e. depth.

Answer with the letter(s) only (e.g., A or AB). No explanation needed.",[],
